id;gender;nombre;nombre;Apellido1;Apellido2;handle;desc;Partido;gobierno_central;gobierno_auto
35;1;María Aurora Flórez;María;Aurora;Flórez;M_Aurora_Florez;"Diputada nacional por León. Portavoz Comisión mixta para el estudio de las drogas. Miembro de la Ponencia ""Menores sin alcohol"".             ";PSOE;0;0
36;1;Sandra Julia;Sandra;Julia;;MSandraJulia;Diputada de @CiudadanosCs en @Congreso_es. Subdelegada Territorial en Castellón. Concejal Ayuntamiento de Moncofa. Imposible es solo una opinion (C's)             ;Cs;0;0
37;0;Sergio del Campo;Sergio;del;Campo;sdelcampocs;Diputado de @CiudadanosCs en el @Congreso_Es por Tarragona. Portavoz Comisión de Empleo y Seguridad Social. Subinspector Laboral de Empleo y SS (ITSS)             ;Cs;0;0
38;1;Ascension Carreño;Ascension;Carreño;;Carre1Ascension;Diputada en el Congreso por el PP.Ingeniera de Obras Públicas y Civil. Arquitecto técnico y estudios de piano. Luchando por mejorar las cosas, la mejor melodía.             ;PP;1;0
39;1;Sofía Castañón;Sofía;Castañón;;SofCastanon;Con los ojos atentos y las palabras a mano. Secretaria de Feminismos Interseccional y LGTBI en @ahorapodemos. Diputada por Asturies en el Congreso.             ;Ps;0;0
40;1;Marta González;Marta;González;;MartaGlezVzqz;Medievalista de formación y vocación, Diputada por A Coruña en el Congreso. Portavoz Adjunta del GPPopular. De Santiago de Compostela #ahoramasquenunca             ;PP;1;0
41;0;Jaume Moya i Matas;Jaume;Moya;i Matas;JaumeMoyaM;Procurador d'esquerres, sobiranista, ecologista, incontinent, ruralista, neosegarreta, estepari i aixafaterrossos. Ara, a més, diputat  @EnComu_Podem per Lleida             ;Ps;0;0
42;0;saul ramirez freire;saul;ramirez;freire;saulCiudadanos;             ;Cs;0;0
43;0;Alberto Rodríguez;Alberto;Rodríguez;;Alber_Canarias;Diputado en el Congreso por la provincia de Santa Cruz de Tenerife. @AhoraPodemos. Currela, canario y orgulloso de serlo.             ;Ps;0;0
44;0;Pepe Cano Fuster;Pepe;Cano;Fuster;pepecanonucia;Diputado en Cortes por Cs. cuando los españoles hemos caminado juntos, hemos sido imparables. Imposible, es solo una opinión.             ;Cs;0;0
45;0;Domingo Lorenzo;Domingo;Lorenzo;;Dlorenzo54;nuevo proyecto ilusionante             ;Cs;0;0
46;1;Patricia Reyes;Patricia;Reyes;;PatriciaReyesCs;Madre - Abogada - Diputada de Ciudadanos y Secretaria cuarta de la Mesa del Congreso - Canaria nacida en Madrid - Adoro a Capra y a Marx (Groucho)             ;Cs;0;0
47;1;Loreto Cascales Mart;Loreto;Cascales;Mart;LoraCascales;En este vida no se consigue nada sin esfuerzo y trabajo. Diputada nacional del Partido Popular por la provincia de Alicante.             ;PP;1;0
48;1;Rita Bosaho;Rita;Bosaho;;RitaBosaho;Licenciada en Historia. Diputada de @ahorapodemos en el Congreso  por Alicante             ;Ps;0;0
49;1;Melisa Rodríguez;Melisa;Rodríguez;;mrhciudadanos;Diputada y Portavoz Adjunta en El Congreso de Los Diputados por S/C de Tenerife. Portavoz de C's en Canarias. Facebook http://on.fb.me/1EqYzOX  @cscanarias             ;Cs;0;0
50;1;Teófila Martínez;Teófila;Martínez;;teofila_es;Diputada por Cádiz y Coordinadora del equipo en el Ayuntamiento por el Partido Popular . Bienvenidos a mi cuenta oficial de Twitter.             ;PP;1;0
51;0;Isidro M. Oblanca;Isidro;M.;Oblanca;imoblanca;             ;Foro Asturias;0;0
52;1;Tamara Raya Rguez;Tamara;Raya;Rguez;tamarayar;Madre. Diputada socialista al Congreso por la provincia de S/C de Tenerife renovando el compromiso del PSOE con una sociedad más justa, igualitaria y solidaria             ;PSOE;0;0
53;1;Teresa Arévalo;Teresa;Arévalo;;Arevalo80MT;Diputada de Unidos Podemos por la provincia de Albacete. Miembro del Consejo Ciudadano Estatal de Podemos. Si la política no la haces tú, otros la harán por ti.             ;Ps;0;0
54;1;Marisol Perez;Marisol;Perez;;marisolazuaga;             ;PSOE;0;0
55;0;Santiago Perez Lopez;Santiago;Perez;Lopez;santia2015;             ;PP;1;0
56;0;Francisco Molinero;Francisco;Molinero;;Francis41334448;             ;PP;1;0
57;0;Ricardo Tarno;Ricardo;Tarno;;RicardoTarno;Trabajando desde Mairena del Aljarafe. Diputado en el Congreso por Sevilla. Portavoz de Defensa GPP. Presidente Delegacion Española Asamblea Parlamentaria OTAN             ;PP;1;0
58;1;Carmen Quintanilla;Carmen;Quintanilla;;QuintanillaCarm;Presidenta de la Comisión para el Estudio del Problema de Drogas del Congreso de los Diputados. Diputada del PP por Ciudad Real. Presidenta Nacional AFAMMER             ;PP;1;0
59;0;Vicente Ten;Vicente;Ten;;VicenteTen;Papá, también Economista, Técnico de Hda.del E°, Diputado XI y XII Legislatura de @CsCongreso por Valencia. Los Grandes Sueños son para los Grandes Equipos!             ;Cs;0;0
60;1;Mar García Puig;Mar;García;Puig;margpuig;Feminista, editora i diputada d'En Comú Podem   «¿Com podem concebre una lluita revolucionària que no impliqui una revolució en el discurs?», Julia Kristeva.             ;Ps;0;0
61;0;Gabriel Rufián;Gabriel;Rufián;;gabrielrufian;Padre. Graduado Social. Diputado de @Esquerra_ERC en el Congreso. Para todos todo, para nosotros nada. Instagram: https://goo.gl/Ns6F60              ;ERC;0;0
62;1;Virginia M.Salmeron;Virginia;M.Salmeron;;VirginiaSalmeCs;Sevilla, 1983. Abogada. Diputada de @CiudadanosCs en el Congreso por Sevilla. Portavoz de infancia y adolescencia. Trabajando para reformar y modernizar España.             ;Cs;0;0
63;1;Isabel Cabezas;Isabel;Cabezas;;IsabelCabezasRe;Portavoz del PP de Fuente Obejuna ,Diputada Nacional por Córdoba . Portavoz Adjunta comisión de Salud .             ;PP;1;0
64;1;María Jesús Bonilla;María;Jesús;Bonilla;Mbonilladomingu;Abogada de profesión y política por vocación.Diputada Nacional por Cuenca. Portavoz del PP en el Ayuntamiento de Tarancón.             ;PP;1;0
65;0;Alberto Herrero Bono;Alberto;Herrero;Bono;herrerobono;Calandino. Ingeniero Mecánico. Diputado del @PPopular en el Congreso por la Provincia de Teruel. ¡Bienvenid@!             ;PP;1;0
66;0;Nacho Tremiño;Nacho;Tremiño;;NTremino;             ;PP;1;0
67;1;Zaida Cantera;Zaida;Cantera;;ZaidaCantera;FIAT IUSTITIA ET PEREAT MUNDUS Comandante retirada del ET. Diputada Nacional PSOE. Integridad, moralidad, igualdad, dedicación, esfuerzo y ante todo RESPETO             ;PSOE;0;0
68;1;Nagua Alba;Nagua;Alba;;NaguaAlba;Secretaria General de @PodemosEuskadi_ . Donostiarra. Psikologoa. Diputada en el Congreso por Gipuzkoa de @ahorapodemos-eko diputatua Kongresuan             ;Ps;0;0
69;0;Iñigo Méndez de Vigo;Iñigo;Méndez;de Vigo;IMendezdeVigo;Ministro de Educación, Cultura y Deporte y Diputado por Palencia. No digo todo lo que pienso, pero creo en todo lo que digo             ;PP;1;0
70;1;Carolina Bescansa;Carolina;Bescansa;;CBescansa;Doctora en Sociología y Ciencia Política. Cofundadora, responsable de Análisis Electoral y diputada de Unidos Podemos. Evaluar, rectificar, reimpulsar.             ;Ps;0;0
71;0;Rodrigo Gómez García;Rodrigo;Gómez;García;RodrigoGomGar;Diputado de @CsCongreso por Zaragoza. Licenciado en Derecho y Economía. Abogado.             ;Cs;0;0
72;1;Eva García Sempere;Eva;García;Sempere;EvaGSempere;Si salimos, llegamos. Si llegamos, entramos. Si entramos, vencemos. Coord. del Área Federal de Medio Ambiente de @iunida. Aprendiz de Diputada ecocomunista             ;IU;0;0
73;0;Toni Postius;Toni;Postius;;antonipostius;Lleidatà (1984). Regidor a l'Ajuntament de Lleida. Diputat al Congrés del  Partit Demòcrata Europeu Català per Lleida, l’Alt Pirineu i l’Aran.             ;PDECAT;0;0
74;1;mjesus moro almaraz;mjesus;moro;almaraz;MoroMjesus;Profesora USAL y Diputada del @ppopular por Salamanca en @Congreso_Es. Portavoz de justicia @GPPopular Congreso             ;PP;1;0
75;0;Alfonso Candón;Alfonso;Candón;;AlfonsoCandon;Cuenta oficial de Alfonso Candón y su equipo. Diputado Nacional y presidente del PP de El Puerto             ;PP;1;0
76;0;Miguel Gutiérrez;Miguel;Gutiérrez;;MGutierrezCs;Diputado de Cs en el Congreso y Secretario General de su Grupo Parlamentario. Delegado de Cs en Madrid.             ;Cs;0;0
77;1;Ana Marcello;Ana;Marcello;;anamarcelloana;Diputada por Unid@s Podemos de León. Trabajadora Social. Sonríe porque el cambio ya está en marcha! https://www.facebook.com/AnaMarcelloSantos …             ;Ps;0;0
78;0;Juan Carlos Girauta;Juan;Carlos;Girauta;GirautaOficial;Portavoz de Cs en el Congreso de los Diputados             ;Cs;0;0
79;1;Rosa Martínez;Rosa;Martínez;;rosa_mr_;Diputada por Bizkaia #UnidosPodemos Portavoz I+D y Energía Coportavoz @equo Trabajando por un modelo más justo y sostenible http://facebook.com/RosaMartinezEquo …             ;Ps;0;0
80;1;Elena Faba;Elena;Faba;;Elena_Faba;Empresaria. Presidenta del Círculo de Mujeres de Negocios. Diputada del Congreso por BCN. XI legislatura: Portavoz d Empleo e Industria. XII:Portavoz d Igualdad             ;Cs;0;0
81;1;Irene Rivera;Irene;Rivera;;_Irene_Rivera;Piensa en NARANJA, piensa diferente. Piloto y Diputada de CIUDADANOS por Málaga https://m.facebook.com/profile.php?id=1622832151323858 …             ;Cs;0;0
82;0;Jesus Maria;Jesus;Maria;;jesusmariafer;Diputado nacional por Navarra. Portavoz de sanidad PSOE. Médico. Me gusta la libertad.             ;PSOE;0;0
83;0;Diego Cañamero Valle;Diego;Cañamero;Valle;DcaValle;Jornalero, diputado por Jaén de Unidos Podemos, militante de @NacionalCUT y del @SAT_nacional, considero que la Utopía es posible alcanzarla con la Lucha.             ;Ps;0;0
84;1;Rosana Alonso;Rosana;Alonso;;Rosanalonso_10;Diputada de Podemos por Cantabria en el Congreso de los Diputados             ;Ps;0;0
85;0;Jaime de Olano;Jaime;de;Olano;jaimedeolano;Diputado por Lugo en el Congreso @GPPopular Concejal Ayto de Viveiro @ppviveiro Abogado. Gallego, por lo tanto, Español jaime.deolanovela@facebook.com             ;PP;1;0
86;0;Antonio Trevín;Antonio;Trevín;;antoniotrevin;Antonio Trevín , maestro asturiano en comisión de servicios en el Congreso por mandato de quienes votaron al PSOE en Asturias.             ;PSOE;0;0
87;1;Elena Bastidas;Elena;Bastidas;;elenabastidasb;Presidenta Comisión de Cooperación Internacional para el Desarrollo en @congreso_Es . Diputada por Valencia @ppcv. Abogada. profesora-tutora             ;PP;1;0
88;0;Segundo González;Segundo;González;;Segundogg;Economía y Comunicación. Activista y circunstancialmente diputado de Podemos por Asturies. Portavoz en Presupuestos y TCU. También en Hacienda y Economía             ;Ps;0;0
89;1;Miriam Alconchel;Miriam;Alconchel;;AlconchelMiriam;             ;PSOE;0;0
90;0;José Vicente Marí;José;Vicente;Marí;JVMariBoso;President @PPEivissa. Diputado por Ibiza @Congreso_Es en la XII Legislatura. @GPPopular             ;PP;1;0
91;1;Meri Pita  👋;Meri;Pita; 👋;meripita44;Trabajadora. Secretaria General de @PodemosCanarias. Diputada por la provincia de Las Palmas.             ;Ps;0;0
92;0;Marcial Gómez;Marcial;Gómez;;MarcialGoBal;Padre, Procurador, deportista, ciudadano comprometido, diputado en el Congreso por Córdoba (C's) y con mucha biografía por escribir...             ;Cs;0;0
93;0;Rafa Mayoral;Rafa;Mayoral;;MayoralRafa;Abogado. Diputado en el Congreso. Miembro del Consejo Ciudadano de @ahorapodemos             ;Ps;0;0
94;0;Jose Jaime;Jose;Jaime;;jjalonso10;Docente y Diputado Nacional             ;PP;1;0
95;0;Miguel Barrachina;Miguel;Barrachina;;BarrachinaM;Diputado nacional, liberal, economista, corredor, agricultor y de pueblo -Segorbe-. Secretario General PP Castellón.             ;PP;1;0
96;0;Juan Vte. Perez Aras;Juan;Vte.;Perez Aras;juanviperezaras;Diputado Nacional por Valencia.Licenciado en Ciencias Políticas y de la Administración. @GPPopular @PPopular @ppcv @PP_Val @PP_Campdeturia             ;PP;1;0
97;1;Lola Alba;Lola;Alba;;albamullor;Alcoyana. Diputada por Alicante en el Congreso de los Diputados en la XII Legislatura. @alicantepp @PopularesAlcoy.             ;PP;1;0
98;0;Antonio G. Limones;Antonio;Gutierrez;Limones;LimonesAG;Me propongo vestir de limpio cada mañana y trabajar por mi ciudad, por vosotros, y para que la justicia y el bienestar alcancen a todas las personas.             ;PSOE;0;0
99;1;Pilar Cancela;Pilar;Cancela;;PiliCancela;Deputada @PSOE por Coruña. Presidenta Comisión Igualdade no Congreso. Feminista. Galega. Nai. Na loita cotiá pola xustiza e igualdade dende o socialismo             ;PSOE;0;0
100;1;pepa gonzalez bayo;pepa;gonzalez;bayo;pepa_bayo;Socialista. Diputada Congreso por Huelva L@S que niegan la libertad a Otr@s, No la merecen para Si             ;PSOE;0;0
101;1;Pilar Rojo Noguera;Pilar;Rojo;Noguera;RojoNoguera;             ;PP;1;0
102;1;Auxi Honorato;Auxi;Honorato;;auxihonorato;Funcionaria en excedencia. Secretaria de Administraciones Públicas en Podemos. Diputada de @ahorapodemos en el Congreso por Sevilla             ;Ps;0;0
103;0;Javier Lasarte;Javier;Lasarte;;LasarteJavier;Diputado socialista en el Congreso, por Alava. Portavoz de la Comisión de Presupuestos. Economista. Miembro Comisión Ejecutiva del PSE-EE.             ;PSOE;0;0
104;0;Joseba Agirretxea;Joseba;Agirretxea;;jagirretxea;Maite dut naizena, gorrota gabe ez naizena. Amo lo que soy sin odiar lo que no soy. Abertzale eta euskalduna. EAJ-PNV diputado.             ;EAJ-PNV;0;0
105;0;Alberto Montero;Alberto;Montero;;amonterosoler;Diputado de @ahorapodemos por Málaga en el Congreso y SG de Málaga. Profesor de Economía Política en la Universidad de Málaga.             ;Ps;0;0
106;0;Gonzalo Palacin;Gonzalo;Palacin;;gpalacinguarne;Diputado rural en el Congreso. Economista, creo en las personas. SG PSOE Monzón. Viviendo en el Alto Aragón.             ;PSOE;0;0
107;0;Juan Bravo Baena;Juan;Bravo;Baena;juanBravoBaena;Diputado @Congreso_es del @ppopular por #Ceuta. Licenciado en Derecho e Inspector de Hacienda.             ;PP;1;0
108;1;Tristana Moraleja;Tristana;Moraleja;;TristanaMg;Diputada del PP en el Congreso de los Diputados por la Coruña. Concejala del Partido Popular de Oleiros. Mi rincón para descansar, para vivir, Oleiros             ;PP;1;0
109;1;Yolanda Díaz;Yolanda;Díaz;;Yolanda_Diaz_;"Avogada, Deputada no Congreso de En Marea, Coord de EU. Son tempos de excepción, no final dun réxime político; temos que conformar un novo suxeito político             ";Ps;0;0
110;0;Gregorio Cámara;Gregorio;Cámara;;GregorioCmara;Constitucionalista. Socialista. Federalista. Diputado del Congreso por Granada...No separes el No del Sí. Y da a tu decir sentido: dale sombra (P. Celan)             ;PSOE;0;0
111;0;Carlos Salvador;Carlos;Salvador;;ccsalvador_;Diputado navarro de @upn_navarra             ;UPN;0;0
112;0;José Antonio Nieto;José;Antonio;Nieto;ja_nietob;Secretario de Estado de Seguridad. Presidente @pp_cordoba.             ;PP;1;0
113;0;Pablo Bustinduy;Pablo;Bustinduy;;pbustinduy;Portavoz de Exteriores y diputado de @ahorapodemos por Madrid. Coordino la Secretaría Internacional (@PodemosInter). Las ideas se miden en sus efectos.             ;Ps;0;0
114;1;Susana López Ares;Susana;López;Ares;susanalopezares;Diputada del @PPopular por Asturias en el Congreso. Portavoz adjunta @GPPopular. Doctora en Ciencias Económicas y profesora titular de la Universidad de Oviedo.             ;PP;1;0
115;1;Marta Sorlí;Marta;Sorlí;;casanyeta;Treballadora Social. Diputada de @Compromis al @congreso_es pels pobles de Castelló. Idealista convençuda que es pot canviar el món per fer-lo més just.             ;Ps;0;0
116;0;Óscar Clavell;Óscar;Clavell;;OscarClavell;Licenciado en Historia. Presidente del PP Vall de Uxó y Concejal en el Ayuntamiento. Diputado en el Congreso por Castellón.             ;PP;1;0
117;1;María Jesús Serrano;María;Jesús;Serrano;Mjesusserranoj;Socialista, Abogada.Diputada Congreso por Córdoba.Hay una manera de contribuir a la protección de la humanidad, y es NO RESIGNARSE. mjesus.serrano@congreso.es             ;PSOE;0;0
118;0;Pedro Saura;Pedro;Saura;;pedrosaurag;Diputado en el Congreso por Murcia. Portavoz de Economía del Grupo Socialista http://www.pedrosaura.blogspot.com.es/              ;PSOE;0;0
119;0;Pablo Casado Blanco;Pablo;Casado;Blanco;pablocasado_;Vicesecretario de comunicación del @ppopular. Diputado por Ávila y Vicepresidente Comisión UE en @Congreso_es. Abogado y economista. Fellow en @JohnsHopkins             ;PP;1;0
120;0;Antonio Pradas;Antonio;Pradas;;PradasTorres;De El Rubio (Sevilla) de donde fui alcalde socialista.Ahora Diputado en Cortes y Coordinador de la Interparlamentaria PSOE-A.             ;PSOE;0;0
121;1;Susana Sumelzo;Susana;Sumelzo;;SSumelzo;Socialista. Diputada por Zaragoza en el Congreso. Trabajando para que las cosas cambien a mejor             ;PSOE;0;0
122;1;Ana Zurita;Ana;Zurita;;AnaZurita7;Arquitecto, urbanista, preocupada por el territorio. Diputada por la provincia Santa Cruz de Tenerife. Portavoz de Vivienda del @GPPopular             ;PP;1;0
123;1;AlíciaSánchezCamacho;AlíciaSánchezCamacho;;;AliciaSCamacho;Perfil oficial de la presidenta del PPC y secretaria primera de la Mesa del Congreso, Alícia Sánchez-Camacho, gestionado por su equipo.             ;PP;1;0
124;0;Francisco Igea;Francisco;Igea;;FranciscoIgea;Medico, Ciclista fondón y creyente lleno de dudas. Diputado electo de C's por Valladolid. Portavoz de Sanidad en Congreso y comentarista ocasional en los medios             ;Cs;0;0
125;0;Íñigo Errejón;Íñigo;Errejón;;ierrejon;Secretario de Análisis Estratégico y Cambio Político de @ahorapodemos y diputado por Madrid. Doctor en Ciencia Política en la UCM. #ConstruirPueblo             ;Ps;0;0
126;1;Ana Oramas;Ana;Oramas;;anioramas;Diputada de Coalición Canaria. Economista y ex alcaldesa de La Laguna.             ;CC;0;0
127;0;Josep Vendrell;Josep;Vendrell;;vendrellj;D'esquerres i ecologista, d'@iniciativa i diputat de @EnComu_Podem al Congrés dels Diputats.             ;Ps;0;0
128;1;Isabel Salud;Isabel;Salud;;Saludisabel;Ezker Anitzako Koordinatzaile Orokorra-Coordinadora general de @IUEzker. Diputada de IU, grupo Unid@s Podemos-#ElkarrekinAhalDugu en el Congreso, por Gipuzkoa             ;Ps;0;0
129;1;Guadalupe Martín;Guadalupe;Martín;;Guadalupem1960;Ahora Diputada en el Congreso. Antes ya era madre, médica y del PSOE             ;PSOE;0;0
130;0;Carmelo Romero;Carmelo;Romero;;cromeroher;             ;PP;1;0
131;0;Juan Jiménez Tortosa;Juan;Jiménez;Tortosa;juanjimenezt;Diputado G.P. Socialista. Profesor de Educación Secundaria. Psicólogo             ;PSOE;0;0
132;0;Eduardo Maura;Eduardo;Maura;;edumaura;Diputado de @ahorapodemos por Bizkaia y portavoz de Cultura en el Congreso. Secretario Político de @PodemosEuskadi_             ;Ps;0;0
133;0;Avelino Barrionuevo;Avelino;Barrionuevo;;AvelinoPP;Perfil Personal.Malagueño, 46 años, Casado con 3 hijos, Ldo en Derecho, Procurador de los Tribunales, ExSenador y Diputado del PP, por la Provincia de Malaga.             ;PP;1;0
134;1;Lídia Guinart;Lídia;Guinart;;lidiaguinart;Escritora y periodista. Diputada en el Congreso por Barcelona. Socialista, feminista y atea. Lucho por la justicia social y la igualdad. Del Barça.             ;PSOE;0;0
135;0;Alfonso Alonso;Alfonso;Alonso;;AlfonsoAlonsoPP;Bienvenidos al Twitter de Alfonso Alonso y su equipo. Presidente del @PPvasco y parlamentario vasco             ;PP;1;0
136;0;Pedro Azpiazu;Pedro;Azpiazu;;PedroAzpiazu;Ogasuna eta Ekonomi sailburua. Consejero vasco de Hacienda y Economía.             ;PP;1;0
137;1;Pilar Lucio;Pilar;Lucio;;lucio_pilar;Madre, socióloga, socialdemócrata, diputada nacional por Cáceres             ;PSOE;0;0
138;0;Juan A Delgado Ramos;Juan;Delgado;Ramos;JA_DelgadoRamos;Diputado de @ahorapodemos en @congreso_ES por Cádiz. Guardia Civil. Ponte siempre en el lugar del otro. Mi blog http://juanantoniodelgado.es              ;Ps;0;0
139;1;Agueda Reynés;Agueda;Reynés;;areynes2;Diputada Nacional del PP por Baleares. Portavoz del Grupo Municipal del PP en el Ayuntamiento de Mahón.             ;PP;1;0
140;0;J.A. Martin Toledano;J.A.;Martin;Toledano;martintoledano;Diputado por Ciudad Real. Grupo Popular Congreso Portavoz de Interior GPP.             ;PP;1;0
141;0;Rafael Simancas;Rafael;Simancas;;SimancasRafael;Diputado @PSOE @psoe_m por Madrid. Portavoz de Empleo. Profesor de Teoría Política @urjc. Subdirector http://www.fundacionsistema.com  Patrono de @fpabloiglesias             ;PSOE;0;0
142;1;Carlota Merchán;Carlota;Merchán;;CarlotaMerchn;Diputada PSOE por Madrid. #DDHH #Feminismo #Cooperación #LuchaContraLaPobreza #JusticiaSocial #CiudadaníaGlobal             ;PSOE;0;0
143;1;Mar Cotelo;Mar;Cotelo;;mar_cotelo;             ;PP;1;0
144;1;Patricia_Blanquer;Patricia_Blanquer;;;Patri_Blanquer;Diputada Congreso por Alicante. Portavoz de industria. Mirant avant             ;PSOE;0;0
